Cell Type,Value,Measurement
Hippocampus CA1 pyramidal cell,2.3,spike width
Substantia nigra pars reticulata interneuron GABA,-40.3,spike threshold
Substantia nigra pars reticulata interneuron GABA,69.5,spike amplitude
Substantia nigra pars reticulata interneuron GABA,9.4,spontaneous firing rate
Substantia nigra pars reticulata interneuron GABA,1.1,spike width
Hippocampus CA1 pyramidal cell,-62.5,resting membrane potential
Hippocampus CA1 pyramidal cell,-47.5,spike threshold
Hippocampus CA1 pyramidal cell,89.6,spike amplitude
Hippocampus CA1 pyramidal cell,47.4,input resistance
Hippocampus CA1 pyramidal cell,-68.0,resting membrane potential
Hippocampus CA1 pyramidal cell,260.0,input resistance
Hippocampus CA1 pyramidal cell,40.0,membrane time constant
Hippocampus CA1 pyramidal cell,40.0,adaptation percent (1 – first/last ISI)
Hippocampus CA1 pyramidal cell,0.9,spike half-width
Spinal cord intermediate horn motor neuron sympathetic,-62.2,resting membrane potential
Spinal cord intermediate horn motor neuron sympathetic,410.0,input resistance
Spinal cord intermediate horn motor neuron sympathetic,5.7,AHP duration
Spinal cord intermediate horn motor neuron sympathetic,88.5,spike amplitude
Spinal cord intermediate horn motor neuron sympathetic,25.9,AHP amplitude
Neocortex pyramidal cell layer 5-6,-64.1,resting membrane potential
Neocortex pyramidal cell layer 5-6,125.5,cell capacitance
Neocortex pyramidal cell layer 5-6,14.8,firing frequency
Neocortex pyramidal cell layer 5-6,7.4,FI slope
Neostriatum medium spiny neuron,56.4,spike amplitude
Neostriatum medium spiny neuron,9.8,AHP amplitude
Hippocampus CA1 pyramidal cell,-65.6,resting membrane potential
Hippocampus CA1 pyramidal cell,151.0,input resistance
Hippocampus CA1 pyramidal cell,-49.0,spike threshold
Hippocampus CA1 pyramidal cell,70.0,rheobase
Hippocampus CA1 pyramidal cell,6.3,AHP amplitude
Spinal cord ventral horn interneuron IA,-62.0,resting membrane potential
Spinal cord ventral horn interneuron IA,50.0,cell capacitance
Spinal cord ventral horn interneuron IA,-35.0,spike threshold
Spinal cord ventral horn interneuron IA,1.9,spike width
Spinal cord ventral horn interneuron IA,77.0,spike amplitude
Hippocampus CA3 lacunosum moleculare neuron,315.1,input resistance
Hippocampus CA3 lacunosum moleculare neuron,33.3,membrane time constant
Hippocampus CA3 lacunosum moleculare neuron,0.84,spike half-width
Hippocampus CA3 lacunosum moleculare neuron,5.15,AHP duration
Neocortex pyramidal cell layer 5-6,-60.1,resting membrane potential
Neocortex pyramidal cell layer 5-6,17.1,membrane time constant
Neocortex pyramidal cell layer 5-6,87.2,input resistance
Neocortex pyramidal cell layer 5-6,-60.2,resting membrane potential
Neocortex pyramidal cell layer 5-6,15.7,membrane time constant
Neocortex pyramidal cell layer 5-6,86.4,input resistance
Neocortex pyramidal cell layer 5-6,-37.6,spike threshold
Neocortex pyramidal cell layer 5-6,50.4,spike peak
Spinal cord ventral horn motor neuron alpha,301.2,input resistance
Spinal cord ventral horn motor neuron alpha,129.7,cell capacitance
Spinal cord ventral horn motor neuron alpha,49.9,spike amplitude
Spinal cord ventral horn motor neuron alpha,3.5,spike width
Spinal cord ventral horn motor neuron alpha,-35.1,spike threshold
Spinal cord ventral horn motor neuron alpha,0.8,spike half-width
Spinal cord ventral horn motor neuron alpha,45.4,AHP duration
Spinal cord ventral horn motor neuron alpha,58.7,spike amplitude
Spinal cord ventral horn motor neuron alpha,-11.6,AHP amplitude
Neocortex pyramidal cell layer 5-6,385.3,input resistance
Neocortex pyramidal cell layer 5-6,91.2,spike amplitude
Neocortex pyramidal cell layer 5-6,10.1,sag ratio
Neocortex pyramidal cell layer 5-6,1.9,spike half-width
Dorsal root ganglion cell,-60.1,resting membrane potential
Dorsal root ganglion cell,20.2,input resistance
Dorsal root ganglion cell,-56.4,resting membrane potential
Dorsal root ganglion cell,9.0,input resistance
Dorsal root ganglion cell,32.3,cell diameter
Dorsal root ganglion cell,37.9,cell capacitance
Dorsal root ganglion cell,113.2,spike amplitude
Dorsal root ganglion cell,-11.6,spike threshold
Dentate gyrus granule cell,-77.0,resting membrane potential
Dentate gyrus granule cell,74.9,spike amplitude
Dentate gyrus granule cell,-55.3,spike threshold
Dentate gyrus granule cell,1.29,spike width
Dorsal root ganglion cell,1.3,spike width
Dorsal root ganglion cell,81.0,rheobase
Dorsal root ganglion cell,49.0,spike peak
Subiculum pyramidal cell,-46.6,spike threshold
Subiculum pyramidal cell,283.0,rheobase
Neocortex pyramidal cell layer 5-6,-66.2,resting membrane potential
Neocortex pyramidal cell layer 5-6,0.93,spike half-width
Dentate gyrus granule cell,72.0,spike amplitude
Dentate gyrus granule cell,15.0,membrane time constant
Dentate gyrus granule cell,-70.0,resting membrane potential
Dentate gyrus granule cell,100.0,input resistance
Dorsal root ganglion cell,271.0,input resistance
Dorsal root ganglion cell,-31.1,spike threshold
Dorsal root ganglion cell,5.2,spike width
Neocortex pyramidal cell layer 2-3,-76.0,resting membrane potential
Neocortex pyramidal cell layer 2-3,89.0,input resistance
Neocortex pyramidal cell layer 2-3,20.1,membrane time constant
Neocortex pyramidal cell layer 2-3,263.0,rheobase
Hippocampus CA1 pyramidal cell,-61.38,resting membrane potential
Hippocampus CA1 pyramidal cell,326.72,input resistance
Hippocampus CA1 pyramidal cell,48.78,spike threshold
Hippocampus CA1 pyramidal cell,53.85,input resistance
Hippocampus CA1 pyramidal cell,-61.67,resting membrane potential
Hippocampus CA1 pyramidal cell,81.43,spike amplitude
Dorsal root ganglion cell,-55.7,resting membrane potential
Dorsal root ganglion cell,445.0,input resistance
Dorsal root ganglion cell,19.5,cell capacitance
Dorsal root ganglion cell,15.9,membrane time constant
Hippocampus CA1 pyramidal cell,-33.81,spike threshold
Hippocampus CA1 pyramidal cell,69.29,spike amplitude
Hippocampus CA1 pyramidal cell,-72.96,resting membrane potential
Hippocampus CA1 pyramidal cell,156.99,input resistance
Hippocampus CA1 pyramidal cell,-33.82,spike threshold
Hippocampus CA1 pyramidal cell,72.59,spike amplitude
Hippocampus CA1 pyramidal cell,142.6,input resistance
Hippocampus CA1 pyramidal cell,-71.99,resting membrane potential
Cerebellum Purkinje cell,79.3,spike amplitude
Cerebellum Purkinje cell,431.0,spike half-width
Cerebellum Purkinje cell,-54.9,spike threshold
Cerebellum Purkinje cell,1.3,rheobase
Medial entorhinal cortex layer II stellate cell,-68.5,resting membrane potential
Medial entorhinal cortex layer II stellate cell,43.9,input resistance
Medial entorhinal cortex layer II stellate cell,55.2,input resistance
Medial entorhinal cortex layer II stellate cell,9.3,membrane time constant
Medial entorhinal cortex layer II stellate cell,0.62,sag ratio
Neocortex pyramidal cell layer 2-3,-76.0,resting membrane potential
Neocortex pyramidal cell layer 2-3,59.0,input resistance
Neocortex pyramidal cell layer 2-3,14.1,membrane time constant
Neocortex pyramidal cell layer 2-3,300.0,rheobase
Neocortex pyramidal cell layer 5-6,-61.5,resting membrane potential
Neocortex pyramidal cell layer 5-6,56.0,input resistance
Neocortex pyramidal cell layer 5-6,0.94,cell capacitance
Neocortex pyramidal cell layer 2-3,-36.4,spike threshold
Neocortex pyramidal cell layer 2-3,66.5,spike amplitude
Neocortex pyramidal cell layer 2-3,0.84,spike half-width
Cerebellum Purkinje cell,41.0,spike peak
Cerebellum Purkinje cell,-53.0,spike threshold
Spinal cord intermediate horn motor neuron sympathetic,6.4,rheobase
Spinal cord intermediate horn motor neuron sympathetic,2.4,input resistance
Spinal cord intermediate horn motor neuron sympathetic,16.0,spike threshold
Lateral amygdala projection neuron,-63.0,resting membrane potential
Lateral amygdala projection neuron,141.0,input resistance
Lateral amygdala projection neuron,1.1,spike half-width
Lateral amygdala projection neuron,-33.0,spike threshold
Neocortex basket cell,0.2,spike half-width
Neocortex basket cell,167.2,maximum firing rate
Neocortex basket cell,24.3,AHP amplitude
Neostriatum medium spiny neuron,-91.8,resting membrane potential
Neostriatum medium spiny neuron,-76.2,resting membrane potential
Hippocampus CA1 pyramidal cell,87.0,spike amplitude from resting
Hippocampus CA1 pyramidal cell,-52.3,spike threshold
Hippocampus CA1 pyramidal cell,-56.0,fast AHP voltage
Thalamus relay cell,65.5,resting membrane potential
Thalamus relay cell,33.8,input resistance
Thalamus relay cell,48.5,spike threshold
Thalamus relay cell,0.44,rheobase
Thalamus relay cell,68.6,resting membrane potential
Thalamus relay cell,48.4,input resistance
Thalamus relay cell,46.2,spike threshold
Thalamus relay cell,0.37,rheobase
Dorsal root ganglion cell,-51.2,resting membrane potential
Dorsal root ganglion cell,-20.6,spike threshold
Dorsal root ganglion cell,80.4,spike amplitude
Dorsal root ganglion cell,1.4,firing frequency
Trochlear nucleus motoneurons,-59.4,resting membrane potential
Trochlear nucleus motoneurons,83.6,spike amplitude
Trochlear nucleus motoneurons,0.86,spike half-width
Trochlear nucleus motoneurons,5.6,AHP amplitude from resting
Dorsal root ganglion cell,-56.9,resting membrane potential
Dorsal root ganglion cell,28.9,cell diameter
Dorsal root ganglion cell,26.2,cell capacitance
Dorsal root ganglion cell,6.6,access resistance
Hippocampus CA1 pyramidal cell,-41.2,spike threshold
Hippocampus CA1 pyramidal cell,69.6,spike amplitude
Hippocampus CA1 pyramidal cell,-5.8,slow AHP amplitude
Neostriatum medium spiny neuron,-33.5,spike threshold
Neostriatum medium spiny neuron,3.16,spike width
Neostriatum medium spiny neuron,9.32,AHP amplitude
Hippocampus CA1 pyramidal cell,-64.3,resting membrane potential
Hippocampus CA1 pyramidal cell,-53.9,spike threshold
Hippocampus CA1 pyramidal cell,90.2,spike amplitude from resting
Hippocampus CA1 pyramidal cell,2.0,spike half-width
Retina bipolar cell,-63.0,spike threshold
Retina bipolar cell,28.0,spike amplitude
Retina bipolar cell,16.0,spike width
Hippocampus CA1 pyramidal cell,-62.0,resting membrane potential
Hippocampus CA1 pyramidal cell,113.0,input resistance
Hippocampus CA1 pyramidal cell,1.1,spike half-width
Other,-58.9,resting membrane potential
Other,348.5,input resistance
Other,82.8,spike amplitude
Other,-30.4,spike threshold
Hippocampus CA1 pyramidal cell,-68.4,resting membrane potential
Hippocampus CA1 pyramidal cell,33.7,input resistance
Hippocampus CA1 pyramidal cell,-58.0,spike threshold
Hippocampus CA1 pyramidal cell,-55.4,spike threshold
Hippocampus CA1 pyramidal cell,41.8,input resistance
Hippocampus CA1 pyramidal cell,-65.8,resting membrane potential
Cochlear nucleus (ventral) octopus cell,-64.5,resting membrane potential
Cochlear nucleus (ventral) octopus cell,6.0,input resistance
Neocortex pyramidal cell layer 2-3,190.0,input resistance
Neocortex pyramidal cell layer 2-3,-68.1,resting membrane potential
Spinal cord ventral horn motor neuron alpha,2.4,input resistance
Spinal cord ventral horn motor neuron alpha,7.1,rheobase
Spinal cord ventral horn motor neuron alpha,13.0,FI slope
Spinal cord ventral horn motor neuron alpha,347.8,input resistance
Spinal cord ventral horn motor neuron alpha,43.5,spike amplitude
Spinal cord ventral horn motor neuron alpha,3.8,spike width
Spinal cord ventral horn motor neuron alpha,426.7,input resistance
Spinal cord ventral horn motor neuron alpha,50.4,spike amplitude
Spinal cord ventral horn motor neuron alpha,3.3,spike width
Spinal cord ventral horn motor neuron alpha,-58.2,resting membrane potential
Spinal cord ventral horn motor neuron alpha,34.5,input resistance
Spinal cord ventral horn motor neuron alpha,1.0,rheobase
Hippocampus CA1 pyramidal cell,22.4,membrane time constant
Hippocampus CA1 pyramidal cell,65.6,input resistance
Hippocampus CA1 pyramidal cell,-64.6,resting membrane potential
Cochlear nucleus (dorsal) pyramidal neuron,64.0,input resistance
Cochlear nucleus (dorsal) pyramidal neuron,-50.0,spike threshold
Cochlear nucleus (dorsal) pyramidal neuron,76.0,spike amplitude
Other,-69.0,resting membrane potential
Other,-41.0,spike threshold
Other,-15.0,spike peak
Substantia nigra pars compacta dopaminergic cell,-39.7,spike threshold
Substantia nigra pars compacta dopaminergic cell,1.22,spike half-width
Substantia nigra pars compacta dopaminergic cell,33.6,spike peak
Neocortex uncharacterized cell,45.0,input resistance
Neocortex uncharacterized cell,20.0,membrane time constant
Neocortex uncharacterized cell,-60.0,resting membrane potential
Neocortex pyramidal cell layer 2-3,-83.0,resting membrane potential
Neocortex pyramidal cell layer 2-3,39.9,input resistance
Hippocampus CA3 pyramidal cell,-63.8,resting membrane potential
Hippocampus CA3 pyramidal cell,92.2,spike amplitude
Hippocampus CA3 pyramidal cell,0.55,spike half-width
Hippocampus CA1 pyramidal cell,237.8,input resistance
Hippocampus CA1 pyramidal cell,29.2,membrane time constant
Hippocampus CA1 pyramidal cell,-61.7,resting membrane potential
Dorsal root ganglion cell,22.3,cell diameter
Dorsal root ganglion cell,1.0,firing frequency
Dorsal root ganglion cell,-50.3,resting membrane potential
Neocortex pyramidal cell layer 5-6,-82.4,resting membrane potential
Neocortex pyramidal cell layer 5-6,86.4,spike amplitude
Neocortex pyramidal cell layer 5-6,102.2,input resistance
Spinal cord ventral horn motor neuron alpha,16.2,input resistance
Spinal cord ventral horn motor neuron alpha,-70.03,resting membrane potential
Spinal cord ventral horn motor neuron alpha,727.0,cell capacitance
Neocortex basket cell,0.85,spike half-width
Neocortex basket cell,269.0,rheobase
Neocortex basket cell,23.1,AHP amplitude
Hippocampus CA1 pyramidal cell,111.0,input resistance
Hippocampus CA1 pyramidal cell,-37.9,spike threshold
Hippocampus CA1 pyramidal cell,82.6,spike amplitude
Dentate gyrus granule cell,73.0,spike amplitude
Dentate gyrus granule cell,84.0,input resistance
Dentate gyrus granule cell,-77.0,resting membrane potential
Hippocampus CA3 pyramidal cell,-65.0,resting membrane potential
Hippocampus CA3 pyramidal cell,73.9,spike amplitude
Hippocampus CA3 pyramidal cell,1.3,spike half-width
Neostriatum medium spiny neuron,-75.0,resting membrane potential
Neostriatum medium spiny neuron,121.0,input resistance
Neostriatum medium spiny neuron,2.0,spike peak
DRG temperature cell,70.0,spike amplitude
DRG temperature cell,16.5,spike peak
Thalamus relay cell,11.12,access resistance
Thalamus relay cell,35.75,cell capacitance
Cerebellum Golgi cell,271.0,input resistance
Cerebellum Golgi cell,131.0,cell capacitance
Dorsal root ganglion cell,22.0,cell diameter
Dorsal root ganglion cell,23.3,cell capacitance
Dorsal root ganglion cell,10.91,membrane time constant
Neocortex pyramidal cell layer 5-6,-63.4,resting membrane potential
Neocortex pyramidal cell layer 5-6,15.3,input resistance
Neocortex pyramidal cell layer 5-6,18.98,input resistance
Dorsal motor nucleus of vagus motor neuron,400.0,input resistance
Dorsal motor nucleus of vagus motor neuron,3.29,spike width
Dorsal motor nucleus of vagus motor neuron,63.6,AHP duration
Dorsal motor nucleus of vagus motor neuron,16.7,AHP amplitude
Cerebellum Golgi cell,-55.3,spike threshold
Cerebellum Golgi cell,1.22,spike half-width
Cerebellum Golgi cell,-67.9,resting membrane potential
Cerebellum Golgi cell,21.8,spike peak
Hippocampus CA1 pyramidal cell,-64.5,resting membrane potential
Hippocampus CA1 pyramidal cell,-53.2,spike threshold
Hippocampus CA1 pyramidal cell,53.3,input resistance
Dorsal root ganglion cell,-50.7,resting membrane potential
Dorsal root ganglion cell,-41.6,spike threshold
Dorsal root ganglion cell,24.2,rheobase
Spinal cord ventral horn interneuron II,42.1,cell capacitance
Spinal cord ventral horn interneuron II,458.7,input resistance
Spinal cord ventral horn interneuron II,-50.7,resting membrane potential
BNST common spiny neuron,0.74,spike width
BNST common spiny neuron,10.5,spontaneous firing rate
DRG IA cell,10.1,cell capacitance
DRG IA cell,102.1,spike amplitude
DRG IA cell,33.4,AHP duration
Dentate gyrus granule cell,27.61,spike amplitude
Dentate gyrus granule cell,8.66,membrane time constant
Hippocampus CA1 pyramidal cell,30.0,cell diameter
