,Cell Type,Value,Measurement
498,DRG temperature cell,98.0,spike amplitude
499,Dorsal root ganglion cell,317.0,input resistance
500,Dorsal root ganglion cell,-56.0,resting membrane potential
501,Dorsal root ganglion cell,58.0,rheobase
502,Dorsal root ganglion cell,101.0,spike amplitude
503,Dorsal root ganglion cell,24.1,cell diameter
504,Dorsal root ganglion cell,30.4,cell capacitance
505,Dorsal root ganglion cell,-54.5,resting membrane potential
506,Dorsal root ganglion cell,-21.1,spike threshold
507,Dorsal root ganglion cell,34.1,cell diameter
508,Dorsal root ganglion cell,47.2,cell capacitance
509,Dorsal root ganglion cell,-57.2,resting membrane potential
510,Dorsal root ganglion cell,-29.3,spike threshold
511,Dorsal root ganglion cell,8.1,spike width
512,Dorsal root ganglion cell,5.2,spike width
513,Hippocampus CA1 pyramidal cell,-60.1,resting membrane potential
514,Hippocampus CA1 pyramidal cell,111.0,input resistance
515,Hippocampus CA1 pyramidal cell,13.2,access resistance
516,Hippocampus CA1 pyramidal cell,1.52,spike half-width
517,Hippocampus CA1 pyramidal cell,-46.2,spike threshold
518,Locus coeruleus noradrenergic neuron,-45.9,spike threshold
519,Locus coeruleus noradrenergic neuron,71.7,spike amplitude
520,Locus coeruleus noradrenergic neuron,2.0,spike width
521,Locus coeruleus noradrenergic neuron,20.4,AHP amplitude
522,Neostriatum medium spiny neuron,341.0,input resistance
523,Neostriatum medium spiny neuron,61.5,spike amplitude
524,Neostriatum medium spiny neuron,1.51,spike half-width
525,Neostriatum medium spiny neuron,379.0,first spike latency
526,Hippocampus CA1 pyramidal cell,-70.7,resting membrane potential
527,Hippocampus CA1 pyramidal cell,-50.4,spike threshold
528,Hippocampus CA1 pyramidal cell,1.2,spike half-width
529,Hippocampus CA1 pyramidal cell,42.5,spike peak
530,Neocortex basket cell,72.5,input resistance
531,Neocortex basket cell,0.53,spike half-width
532,Neocortex basket cell,-43.1,spike threshold
533,Neocortex basket cell,-66.4,resting membrane potential
534,Hippocampus CA1 pyramidal cell,58.9,input resistance
535,Hippocampus CA1 pyramidal cell,-58.7,resting membrane potential
536,Hippocampus CA1 pyramidal cell,83.8,spike amplitude
537,Hippocampus CA1 pyramidal cell,2.3,spike width
538,Substantia nigra pars reticulata interneuron GABA,-40.3,spike threshold
539,Substantia nigra pars reticulata interneuron GABA,69.5,spike amplitude
540,Substantia nigra pars reticulata interneuron GABA,9.4,spontaneous firing rate
541,Substantia nigra pars reticulata interneuron GABA,1.1,spike width
542,Hippocampus CA1 pyramidal cell,-62.5,resting membrane potential
543,Hippocampus CA1 pyramidal cell,-47.5,spike threshold
544,Hippocampus CA1 pyramidal cell,89.6,spike amplitude
545,Hippocampus CA1 pyramidal cell,47.4,input resistance
546,Hippocampus CA1 pyramidal cell,-68.0,resting membrane potential
547,Hippocampus CA1 pyramidal cell,260.0,input resistance
548,Hippocampus CA1 pyramidal cell,40.0,membrane time constant
549,Hippocampus CA1 pyramidal cell,40.0,adaptation percent (1 – first/last ISI)
550,Hippocampus CA1 pyramidal cell,0.9,spike half-width
551,Spinal cord intermediate horn motor neuron sympathetic,-62.2,resting membrane potential
552,Spinal cord intermediate horn motor neuron sympathetic,410.0,input resistance
553,Spinal cord intermediate horn motor neuron sympathetic,5.7,AHP duration
554,Spinal cord intermediate horn motor neuron sympathetic,88.5,spike amplitude
555,Spinal cord intermediate horn motor neuron sympathetic,25.9,AHP amplitude
556,Neocortex pyramidal cell layer 5-6,-64.1,resting membrane potential
557,Neocortex pyramidal cell layer 5-6,125.5,cell capacitance
558,Neocortex pyramidal cell layer 5-6,14.8,firing frequency
559,Neocortex pyramidal cell layer 5-6,7.4,FI slope
560,Neostriatum medium spiny neuron,56.4,spike amplitude
561,Neostriatum medium spiny neuron,9.8,AHP amplitude
562,Hippocampus CA1 pyramidal cell,-65.6,resting membrane potential
563,Hippocampus CA1 pyramidal cell,151.0,input resistance
564,Hippocampus CA1 pyramidal cell,-49.0,spike threshold
565,Hippocampus CA1 pyramidal cell,70.0,rheobase
566,Hippocampus CA1 pyramidal cell,6.3,AHP amplitude
567,Spinal cord ventral horn interneuron IA,-62.0,resting membrane potential
568,Spinal cord ventral horn interneuron IA,50.0,cell capacitance
569,Spinal cord ventral horn interneuron IA,-35.0,spike threshold
570,Spinal cord ventral horn interneuron IA,1.9,spike width
571,Spinal cord ventral horn interneuron IA,77.0,spike amplitude
572,Hippocampus CA3 lacunosum moleculare neuron,315.1,input resistance
573,Hippocampus CA3 lacunosum moleculare neuron,33.3,membrane time constant
574,Hippocampus CA3 lacunosum moleculare neuron,0.84,spike half-width
575,Hippocampus CA3 lacunosum moleculare neuron,5.15,AHP duration
576,Neocortex pyramidal cell layer 5-6,-60.1,resting membrane potential
577,Neocortex pyramidal cell layer 5-6,17.1,membrane time constant
578,Neocortex pyramidal cell layer 5-6,87.2,input resistance
579,Neocortex pyramidal cell layer 5-6,-60.2,resting membrane potential
580,Neocortex pyramidal cell layer 5-6,15.7,membrane time constant
581,Neocortex pyramidal cell layer 5-6,86.4,input resistance
582,Neocortex pyramidal cell layer 5-6,-37.6,spike threshold
583,Neocortex pyramidal cell layer 5-6,50.4,spike peak
584,Spinal cord ventral horn motor neuron alpha,301.2,input resistance
585,Spinal cord ventral horn motor neuron alpha,129.7,cell capacitance
586,Spinal cord ventral horn motor neuron alpha,49.9,spike amplitude
587,Spinal cord ventral horn motor neuron alpha,3.5,spike width
588,Spinal cord ventral horn motor neuron alpha,-35.1,spike threshold
589,Spinal cord ventral horn motor neuron alpha,0.8,spike half-width
590,Spinal cord ventral horn motor neuron alpha,45.4,AHP duration
591,Spinal cord ventral horn motor neuron alpha,58.7,spike amplitude
592,Spinal cord ventral horn motor neuron alpha,-11.6,AHP amplitude
593,Neocortex pyramidal cell layer 5-6,385.3,input resistance
594,Neocortex pyramidal cell layer 5-6,91.2,spike amplitude
595,Neocortex pyramidal cell layer 5-6,10.1,sag ratio
596,Neocortex pyramidal cell layer 5-6,1.9,spike half-width
597,Dorsal root ganglion cell,-60.1,resting membrane potential
598,Dorsal root ganglion cell,20.2,input resistance
599,Dorsal root ganglion cell,-56.4,resting membrane potential
600,Dorsal root ganglion cell,9.0,input resistance
601,Dorsal root ganglion cell,32.3,cell diameter
602,Dorsal root ganglion cell,37.9,cell capacitance
603,Dorsal root ganglion cell,113.2,spike amplitude
604,Dorsal root ganglion cell,-11.6,spike threshold
605,Dentate gyrus granule cell,-77.0,resting membrane potential
606,Dentate gyrus granule cell,74.9,spike amplitude
607,Dentate gyrus granule cell,-55.3,spike threshold
608,Dentate gyrus granule cell,1.29,spike width
609,Dorsal root ganglion cell,1.3,spike width
610,Dorsal root ganglion cell,81.0,rheobase
611,Dorsal root ganglion cell,49.0,spike peak
612,Subiculum pyramidal cell,-46.6,spike threshold
613,Subiculum pyramidal cell,283.0,rheobase
614,Neocortex pyramidal cell layer 5-6,-66.2,resting membrane potential
615,Neocortex pyramidal cell layer 5-6,0.93,spike half-width
616,Dentate gyrus granule cell,72.0,spike amplitude
617,Dentate gyrus granule cell,15.0,membrane time constant
618,Dentate gyrus granule cell,-70.0,resting membrane potential
619,Dentate gyrus granule cell,100.0,input resistance
620,Dorsal root ganglion cell,271.0,input resistance
621,Dorsal root ganglion cell,-31.1,spike threshold
622,Dorsal root ganglion cell,5.2,spike width
623,Neocortex pyramidal cell layer 2-3,-76.0,resting membrane potential
624,Neocortex pyramidal cell layer 2-3,89.0,input resistance
625,Neocortex pyramidal cell layer 2-3,20.1,membrane time constant
626,Neocortex pyramidal cell layer 2-3,263.0,rheobase
627,Hippocampus CA1 pyramidal cell,-61.38,resting membrane potential
628,Hippocampus CA1 pyramidal cell,326.72,input resistance
629,Hippocampus CA1 pyramidal cell,48.78,spike threshold
630,Hippocampus CA1 pyramidal cell,53.85,input resistance
631,Hippocampus CA1 pyramidal cell,-61.67,resting membrane potential
632,Hippocampus CA1 pyramidal cell,81.43,spike amplitude
633,Dorsal root ganglion cell,-55.7,resting membrane potential
634,Dorsal root ganglion cell,445.0,input resistance
635,Dorsal root ganglion cell,19.5,cell capacitance
636,Dorsal root ganglion cell,15.9,membrane time constant
637,Hippocampus CA1 pyramidal cell,-33.81,spike threshold
638,Hippocampus CA1 pyramidal cell,69.29,spike amplitude
639,Hippocampus CA1 pyramidal cell,-72.96,resting membrane potential
640,Hippocampus CA1 pyramidal cell,156.99,input resistance
641,Hippocampus CA1 pyramidal cell,-33.82,spike threshold
642,Hippocampus CA1 pyramidal cell,72.59,spike amplitude
643,Hippocampus CA1 pyramidal cell,142.6,input resistance
644,Hippocampus CA1 pyramidal cell,-71.99,resting membrane potential
645,Cerebellum Purkinje cell,79.3,spike amplitude
646,Cerebellum Purkinje cell,431.0,spike half-width
647,Cerebellum Purkinje cell,-54.9,spike threshold
648,Cerebellum Purkinje cell,1.3,rheobase
649,Medial entorhinal cortex layer II stellate cell,-68.5,resting membrane potential
650,Medial entorhinal cortex layer II stellate cell,43.9,input resistance
651,Medial entorhinal cortex layer II stellate cell,55.2,input resistance
652,Medial entorhinal cortex layer II stellate cell,9.3,membrane time constant
653,Medial entorhinal cortex layer II stellate cell,0.62,sag ratio
654,Neocortex pyramidal cell layer 2-3,-76.0,resting membrane potential
655,Neocortex pyramidal cell layer 2-3,59.0,input resistance
656,Neocortex pyramidal cell layer 2-3,14.1,membrane time constant
657,Neocortex pyramidal cell layer 2-3,300.0,rheobase
658,Neocortex pyramidal cell layer 5-6,-61.5,resting membrane potential
659,Neocortex pyramidal cell layer 5-6,56.0,input resistance
660,Neocortex pyramidal cell layer 5-6,0.94,cell capacitance
661,Neocortex pyramidal cell layer 2-3,-36.4,spike threshold
662,Neocortex pyramidal cell layer 2-3,66.5,spike amplitude
663,Neocortex pyramidal cell layer 2-3,0.84,spike half-width
664,Cerebellum Purkinje cell,41.0,spike peak
665,Cerebellum Purkinje cell,-53.0,spike threshold
666,Spinal cord intermediate horn motor neuron sympathetic,6.4,rheobase
667,Spinal cord intermediate horn motor neuron sympathetic,2.4,input resistance
668,Spinal cord intermediate horn motor neuron sympathetic,16.0,spike threshold
669,Lateral amygdala projection neuron,-63.0,resting membrane potential
670,Lateral amygdala projection neuron,141.0,input resistance
671,Lateral amygdala projection neuron,1.1,spike half-width
672,Lateral amygdala projection neuron,-33.0,spike threshold
673,Neocortex basket cell,0.2,spike half-width
674,Neocortex basket cell,167.2,maximum firing rate
675,Neocortex basket cell,24.3,AHP amplitude
676,Neostriatum medium spiny neuron,-91.8,resting membrane potential
677,Neostriatum medium spiny neuron,-76.2,resting membrane potential
678,Hippocampus CA1 pyramidal cell,87.0,spike amplitude from resting
679,Hippocampus CA1 pyramidal cell,-52.3,spike threshold
680,Hippocampus CA1 pyramidal cell,-56.0,fast AHP voltage
681,Thalamus relay cell,65.5,resting membrane potential
682,Thalamus relay cell,33.8,input resistance
683,Thalamus relay cell,48.5,spike threshold
684,Thalamus relay cell,0.44,rheobase
685,Thalamus relay cell,68.6,resting membrane potential
686,Thalamus relay cell,48.4,input resistance
687,Thalamus relay cell,46.2,spike threshold
688,Thalamus relay cell,0.37,rheobase
689,Dorsal root ganglion cell,-51.2,resting membrane potential
690,Dorsal root ganglion cell,-20.6,spike threshold
691,Dorsal root ganglion cell,80.4,spike amplitude
692,Dorsal root ganglion cell,1.4,firing frequency
693,Trochlear nucleus motoneurons,-59.4,resting membrane potential
694,Trochlear nucleus motoneurons,83.6,spike amplitude
695,Trochlear nucleus motoneurons,0.86,spike half-width
696,Trochlear nucleus motoneurons,5.6,AHP amplitude from resting
697,Dorsal root ganglion cell,-56.9,resting membrane potential
698,Dorsal root ganglion cell,28.9,cell diameter
699,Dorsal root ganglion cell,26.2,cell capacitance
700,Dorsal root ganglion cell,6.6,access resistance
701,Hippocampus CA1 pyramidal cell,-41.2,spike threshold
702,Hippocampus CA1 pyramidal cell,69.6,spike amplitude
703,Hippocampus CA1 pyramidal cell,-5.8,slow AHP amplitude
704,Neostriatum medium spiny neuron,-33.5,spike threshold
705,Neostriatum medium spiny neuron,3.16,spike width
706,Neostriatum medium spiny neuron,9.32,AHP amplitude
707,Hippocampus CA1 pyramidal cell,-64.3,resting membrane potential
708,Hippocampus CA1 pyramidal cell,-53.9,spike threshold
709,Hippocampus CA1 pyramidal cell,90.2,spike amplitude from resting
710,Hippocampus CA1 pyramidal cell,2.0,spike half-width
711,Retina bipolar cell,-63.0,spike threshold
712,Retina bipolar cell,28.0,spike amplitude
713,Retina bipolar cell,16.0,spike width
714,Hippocampus CA1 pyramidal cell,-62.0,resting membrane potential
715,Hippocampus CA1 pyramidal cell,113.0,input resistance
716,Hippocampus CA1 pyramidal cell,1.1,spike half-width
717,Other,-58.9,resting membrane potential
718,Other,348.5,input resistance
719,Other,82.8,spike amplitude
720,Other,-30.4,spike threshold
721,Hippocampus CA1 pyramidal cell,-68.4,resting membrane potential
722,Hippocampus CA1 pyramidal cell,33.7,input resistance
723,Hippocampus CA1 pyramidal cell,-58.0,spike threshold
724,Hippocampus CA1 pyramidal cell,-55.4,spike threshold
725,Hippocampus CA1 pyramidal cell,41.8,input resistance
726,Hippocampus CA1 pyramidal cell,-65.8,resting membrane potential
727,Cochlear nucleus (ventral) octopus cell,-64.5,resting membrane potential
728,Cochlear nucleus (ventral) octopus cell,6.0,input resistance
729,Neocortex pyramidal cell layer 2-3,190.0,input resistance
730,Neocortex pyramidal cell layer 2-3,-68.1,resting membrane potential
731,Spinal cord ventral horn motor neuron alpha,2.4,input resistance
732,Spinal cord ventral horn motor neuron alpha,7.1,rheobase
733,Spinal cord ventral horn motor neuron alpha,13.0,FI slope
734,Spinal cord ventral horn motor neuron alpha,347.8,input resistance
735,Spinal cord ventral horn motor neuron alpha,43.5,spike amplitude
736,Spinal cord ventral horn motor neuron alpha,3.8,spike width
737,Spinal cord ventral horn motor neuron alpha,426.7,input resistance
738,Spinal cord ventral horn motor neuron alpha,50.4,spike amplitude
739,Spinal cord ventral horn motor neuron alpha,3.3,spike width
740,Spinal cord ventral horn motor neuron alpha,-58.2,resting membrane potential
741,Spinal cord ventral horn motor neuron alpha,34.5,input resistance
742,Spinal cord ventral horn motor neuron alpha,1.0,rheobase
743,Hippocampus CA1 pyramidal cell,22.4,membrane time constant
744,Hippocampus CA1 pyramidal cell,65.6,input resistance
745,Hippocampus CA1 pyramidal cell,-64.6,resting membrane potential
746,Cochlear nucleus (dorsal) pyramidal neuron,64.0,input resistance
747,Cochlear nucleus (dorsal) pyramidal neuron,-50.0,spike threshold
748,Cochlear nucleus (dorsal) pyramidal neuron,76.0,spike amplitude
749,Other,-69.0,resting membrane potential
750,Other,-41.0,spike threshold
751,Other,-15.0,spike peak
752,Substantia nigra pars compacta dopaminergic cell,-39.7,spike threshold
753,Substantia nigra pars compacta dopaminergic cell,1.22,spike half-width
754,Substantia nigra pars compacta dopaminergic cell,33.6,spike peak
755,Neocortex uncharacterized cell,45.0,input resistance
756,Neocortex uncharacterized cell,20.0,membrane time constant
757,Neocortex uncharacterized cell,-60.0,resting membrane potential
758,Neocortex pyramidal cell layer 2-3,-83.0,resting membrane potential
759,Neocortex pyramidal cell layer 2-3,39.9,input resistance
760,Hippocampus CA3 pyramidal cell,-63.8,resting membrane potential
761,Hippocampus CA3 pyramidal cell,92.2,spike amplitude
762,Hippocampus CA3 pyramidal cell,0.55,spike half-width
763,Hippocampus CA1 pyramidal cell,237.8,input resistance
764,Hippocampus CA1 pyramidal cell,29.2,membrane time constant
765,Hippocampus CA1 pyramidal cell,-61.7,resting membrane potential
766,Dorsal root ganglion cell,22.3,cell diameter
767,Dorsal root ganglion cell,1.0,firing frequency
768,Dorsal root ganglion cell,-50.3,resting membrane potential
769,Neocortex pyramidal cell layer 5-6,-82.4,resting membrane potential
